max bit size,chance of compression being favorable,average compression ratio,median compression ratio,best compression ratio,best compression input,average favorable compression ratio,median favorable compression ratio
20,36.948800,1.006347,1.000000,0.1666,,0.9054,0.9166
50,25.248400,1.027006,1.035714,0.6607,,0.9555,0.9642
100,15.334400,1.034089,1.038462,0.8173,,0.9743,0.9807
200,6.331200,1.037814,1.040000,0.915,,0.9857,0.99
500,0.487200,1.040638,1.039683,0.9662,,0.9936,0.9960
600,0.234400,1.040674,1.040000,0.9716,,0.9947,0.9966
700,0.116800,1.040965,1.041193,0.9730,,0.9957,0.9971
800,0.050800,1.041093,1.041250,0.9837,,0.9956,0.9962
900,0.020000,1.041284,1.040929,0.9878,,0.9965,0.9972
1000,0.011600,1.041403,1.041000,0.986,,0.9967,0.998
1100,0.008400,1.041474,1.041667,0.9927,,0.9967,0.9972
1200,0.003600,1.041562,1.041667,0.9933,,0.9979,0.9983
1300,0.002000,1.041612,1.041411,0.9961,,0.9984,0.9992
1400,0.001200,1.041655,1.041429,0.9964,,0.9976,0.9978
1500,0.000400,1.041659,1.041888,0.9960,,0.9960,0.9960
1600,0.000000,1.041756,1.041875,1.0018,,None,None
1700,0.000000,1.041751,1.041667,1.0035,,None,None
1800,0.000000,1.041830,1.041667,1.0033,,None,None
1900,0.000000,1.041861,1.042017,1.0063,,None,None
2000,0.000000,1.041864,1.042000,1.003,,None,None
5000,0.000000,1.042117,1.042200,1.0198,,None,None
